지점,지점명,일시,최고기온(°C),최대 순간 풍속(m/s)
90,속초,2021-01-01,1.2,9.8
90,속초,2021-01-02,1.5,8.7
90,속초,2021-01-03,.7,12.5
90,속초,2021-01-04,3.2,8.7
90,속초,2021-01-05,.1,12.4
90,속초,2021-01-06,-2.2,10.8
90,속초,2021-01-07,-5.9,17.6
90,속초,2021-01-08,-9,11.2
90,속초,2021-01-09,-5.3,10.9
90,속초,2021-01-10,-1.2,8.6
90,속초,2021-01-11,-.3,7.7
90,속초,2021-01-12,2.5,12.9
90,속초,2021-01-13,9.3,13.5
90,속초,2021-01-14,6,10.9
90,속초,2021-01-15,7.8,12.1
90,속초,2021-01-16,4.8,11.8
90,속초,2021-01-17,-.2,10.4
90,속초,2021-01-18,2.5,13.1
90,속초,2021-01-19,-1.6,4.2
90,속초,2021-01-20,7.9,4.3
90,속초,2021-01-21,9.7,10.6
90,속초,2021-01-22,7.3,5.6
90,속초,2021-01-23,4.9,6.2
90,속초,2021-01-24,5.6,5
90,속초,2021-01-25,7.9,4.8
90,속초,2021-01-26,8.5,8.5
90,속초,2021-01-27,6.7,9.9
90,속초,2021-01-28,8.1,18.9
90,속초,2021-01-29,-2.8,16.8
90,속초,2021-01-30,5.1,13.8
90,속초,2021-01-31,8.2,6.3
90,속초,2021-02-01,13.7,14.2
90,속초,2021-02-02,3.6,15.9
90,속초,2021-02-03,2,12.2
90,속초,2021-02-04,2.9,12.3
90,속초,2021-02-05,9.2,12.3
90,속초,2021-02-06,12.5,10.8
90,속초,2021-02-07,9.1,9.1
90,속초,2021-02-08,1.5,11.1
90,속초,2021-02-09,7.3,10.6
90,속초,2021-02-10,10.4,12.8
90,속초,2021-02-11,10.7,8.3
90,속초,2021-02-12,13.8,5.8
90,속초,2021-02-13,8.1,5.7
90,속초,2021-02-14,11.1,5.5
90,속초,2021-02-15,8.5,13.5
90,속초,2021-02-16,.7,13
90,속초,2021-02-17,-4.2,11.4
90,속초,2021-02-18,1.8,6.5
90,속초,2021-02-19,11.1,17.3
90,속초,2021-02-20,17.8,13.5
90,속초,2021-02-21,14.4,7.1
90,속초,2021-02-22,7.6,6.7
90,속초,2021-02-23,3.6,6.1
90,속초,2021-02-24,5.4,4.9
90,속초,2021-02-25,7,4
90,속초,2021-02-26,7.7,7.3
90,속초,2021-02-27,6.5,7.4
90,속초,2021-02-28,10.7,7
90,속초,2021-03-01,10,10.2
90,속초,2021-03-02,.5,8.8
90,속초,2021-03-03,7.4,4.8
90,속초,2021-03-04,10.5,6.5
90,속초,2021-03-05,16.5,6.3
90,속초,2021-03-06,10.3,12.2
90,속초,2021-03-07,5.1,4.3
90,속초,2021-03-08,6.5,5.8
90,속초,2021-03-09,15.2,9.3
90,속초,2021-03-10,11.5,9.2
90,속초,2021-03-11,16.1,5.8
90,속초,2021-03-12,10.6,11.1
90,속초,2021-03-13,10.1,5.2
90,속초,2021-03-14,13.2,3.6
90,속초,2021-03-15,14.2,5.7
90,속초,2021-03-16,15.9,13.1
90,속초,2021-03-17,10.3,7.1
90,속초,2021-03-18,9.1,7.8
90,속초,2021-03-19,9,6.1
90,속초,2021-03-20,9.9,7
90,속초,2021-03-21,11.6,14.6
90,속초,2021-03-22,12.8,11.4
90,속초,2021-03-23,18.9,12.7
90,속초,2021-03-24,17.8,11.2
90,속초,2021-03-25,18.7,10.1
90,속초,2021-03-26,17.9,7.5
90,속초,2021-03-27,11.4,5.9
90,속초,2021-03-28,17.3,10.3
90,속초,2021-03-29,18.6,18.1
90,속초,2021-03-30,18.6,7.4
90,속초,2021-03-31,15.2,5
90,속초,2021-04-01,13.1,5.1
90,속초,2021-04-02,15.5,5.6
90,속초,2021-04-03,11.4,9.6
90,속초,2021-04-04,10.8,11.7
90,속초,2021-04-05,14.2,7.3
90,속초,2021-04-06,20.4,8.9
90,속초,2021-04-07,17.6,11.5
90,속초,2021-04-08,14.1,10.3
90,속초,2021-04-09,12.8,10.1
90,속초,2021-04-10,14.7,10.1
90,속초,2021-04-11,18.2,10.7
90,속초,2021-04-12,14.7,4.3
90,속초,2021-04-13,19.5,13.5
90,속초,2021-04-14,15.1,9.1
90,속초,2021-04-15,16.5,10.7
90,속초,2021-04-16,18.8,13.3
90,속초,2021-04-17,16.4,13
90,속초,2021-04-18,15,9.2
90,속초,2021-04-19,23.8,19.9
90,속초,2021-04-20,23.5,10.9
90,속초,2021-04-21,17.5,6
90,속초,2021-04-22,17.9,8.5
90,속초,2021-04-23,13.4,6.1
90,속초,2021-04-24,17.6,4.7
90,속초,2021-04-25,16,9.6
90,속초,2021-04-26,17,11.5
90,속초,2021-04-27,20.3,7.7
90,속초,2021-04-28,22.6,11.2
90,속초,2021-04-29,16.7,6.3
90,속초,2021-04-30,13.4,8.2
90,속초,2021-05-01,12.1,11
90,속초,2021-05-02,16.9,7.3
90,속초,2021-05-03,22.7,9.8
90,속초,2021-05-04,19.7,10.8
90,속초,2021-05-05,21.9,13.2
90,속초,2021-05-06,26.4,9.6
90,속초,2021-05-07,23.6,22.8
90,속초,2021-05-08,24.3,19.1
90,속초,2021-05-09,23.5,20.2
90,속초,2021-05-10,19.6,6.1
90,속초,2021-05-11,19,7.8
90,속초,2021-05-12,19.1,4.1
90,속초,2021-05-13,19.8,4.3
90,속초,2021-05-14,21.1,5.2
90,속초,2021-05-15,19,4.4
90,속초,2021-05-16,15.8,11.8
90,속초,2021-05-17,15.7,4.3
90,속초,2021-05-18,20.7,7.4
90,속초,2021-05-19,28.6,6.6
90,속초,2021-05-20,22.5,7.9
90,속초,2021-05-21,18.3,10.3
90,속초,2021-05-22,28.3,4.3
90,속초,2021-05-23,29.8,7.8
90,속초,2021-05-24,24.8,10
90,속초,2021-05-25,20.3,16.5
90,속초,2021-05-26,26.2,12.6
90,속초,2021-05-27,22.4,10.2
90,속초,2021-05-28,21.1,12.7
90,속초,2021-05-29,19.3,7.9
90,속초,2021-05-30,22.3,6.7
90,속초,2021-05-31,20.6,5.4
90,속초,2021-06-01,18.6,5.9
90,속초,2021-06-02,21.3,5.5
90,속초,2021-06-03,18.4,11.5
90,속초,2021-06-04,26.8,15.3
90,속초,2021-06-05,28.2,9.5
90,속초,2021-06-06,27.4,7
90,속초,2021-06-07,30,8.1
90,속초,2021-06-08,23.7,6.4
90,속초,2021-06-09,23.2,7.1
90,속초,2021-06-10,20.8,6.3
90,속초,2021-06-11,29.4,10.7
90,속초,2021-06-12,25.6,6
90,속초,2021-06-13,23.2,6.5
90,속초,2021-06-14,23.3,4.6
90,속초,2021-06-15,21.1,5.1
90,속초,2021-06-16,21.2,6.2
90,속초,2021-06-17,21.1,6.6
90,속초,2021-06-18,28.7,9
90,속초,2021-06-19,23.9,6.7
90,속초,2021-06-20,23.4,9.3
90,속초,2021-06-21,20.9,9.4
90,속초,2021-06-22,19.4,4.7
90,속초,2021-06-23,22.9,5.6
90,속초,2021-06-24,23.9,6
90,속초,2021-06-25,24.9,6.9
90,속초,2021-06-26,22.7,3.1
90,속초,2021-06-27,25,3.2
90,속초,2021-06-28,24.5,3.8
90,속초,2021-06-29,25.8,6
90,속초,2021-06-30,24.3,6.9
90,속초,2021-07-01,26.4,6.5
90,속초,2021-07-02,25.6,4.1
90,속초,2021-07-03,24.6,8.3
90,속초,2021-07-04,21.7,9.5
90,속초,2021-07-05,29.9,7.2
90,속초,2021-07-06,26.7,4.4
90,속초,2021-07-07,26.7,5.3
90,속초,2021-07-08,27.3,4
90,속초,2021-07-09,27.1,4.6
90,속초,2021-07-10,26.6,7.5
90,속초,2021-07-11,31.2,7.9
90,속초,2021-07-12,29.9,5
90,속초,2021-07-13,29.4,5
90,속초,2021-07-14,29.3,4.6
90,속초,2021-07-15,30.1,5.2
90,속초,2021-07-16,30.8,6.9
90,속초,2021-07-17,28.4,3
90,속초,2021-07-18,30,4.9
90,속초,2021-07-19,31.2,5.1
90,속초,2021-07-20,30.5,4.4
90,속초,2021-07-21,31.4,5.5
90,속초,2021-07-22,30.7,6
90,속초,2021-07-23,30.8,6.5
90,속초,2021-07-24,30.4,6.5
90,속초,2021-07-25,30.3,4
90,속초,2021-07-26,31.2,4.2
90,속초,2021-07-27,31.7,4
90,속초,2021-07-28,31.6,3.5
90,속초,2021-07-29,32.1,5.3
90,속초,2021-07-30,32.9,4.9
90,속초,2021-07-31,33.2,3.4
90,속초,2021-08-01,31.4,4
90,속초,2021-08-02,29.6,4.4
90,속초,2021-08-03,31.8,5.9
90,속초,2021-08-04,33.8,6.8
90,속초,2021-08-05,33.5,8.4
90,속초,2021-08-06,33.1,9.3
90,속초,2021-08-07,30.1,6
90,속초,2021-08-08,26.7,10
90,속초,2021-08-09,27.6,10.7
90,속초,2021-08-10,28.4,9.8
90,속초,2021-08-11,28.3,4
90,속초,2021-08-12,27.4,5.3
90,속초,2021-08-13,26.9,6.6
90,속초,2021-08-14,24.5,9.3
90,속초,2021-08-15,25.1,5.3
90,속초,2021-08-16,26.5,4.7
90,속초,2021-08-17,24.2,7.6
90,속초,2021-08-18,23.8,9.5
90,속초,2021-08-19,25.5,7.7
90,속초,2021-08-20,27,5.3
90,속초,2021-08-21,29.4,12.3
90,속초,2021-08-22,30.9,12.5
90,속초,2021-08-23,26.3,6
90,속초,2021-08-24,22.8,3.5
90,속초,2021-08-25,23,4.7
90,속초,2021-08-26,29.1,7.6
90,속초,2021-08-27,28.1,11.4
90,속초,2021-08-28,30.8,9.2
90,속초,2021-08-29,27.8,5.5
90,속초,2021-08-30,28.6,4.4
90,속초,2021-08-31,24.7,7
90,속초,2021-09-01,21,8
90,속초,2021-09-02,24.9,3.9
90,속초,2021-09-03,25.8,4.4
90,속초,2021-09-04,25.2,6.3
90,속초,2021-09-05,24.4,7.3
90,속초,2021-09-06,25.2,8.5
90,속초,2021-09-07,22.3,9
90,속초,2021-09-08,24.1,5.9
90,속초,2021-09-09,26.3,6
90,속초,2021-09-10,26.1,5.4
90,속초,2021-09-11,28.2,7.9
90,속초,2021-09-12,26.5,6
90,속초,2021-09-13,25.6,9
90,속초,2021-09-14,26,4.8
90,속초,2021-09-15,25.5,8.7
90,속초,2021-09-16,25.2,3.4
90,속초,2021-09-17,24.7,8.1
90,속초,2021-09-18,24.6,6.5
90,속초,2021-09-19,24.2,4.2
90,속초,2021-09-20,26.4,9.4
90,속초,2021-09-21,28.8,10.1
90,속초,2021-09-22,26.5,10.7
90,속초,2021-09-23,26.1,11.8
90,속초,2021-09-24,23.6,7.1
90,속초,2021-09-25,19.4,4.4
90,속초,2021-09-26,24,4.1
90,속초,2021-09-27,22.6,2.5
90,속초,2021-09-28,22.1,4.3
90,속초,2021-09-29,19.8,11.9
90,속초,2021-09-30,24.8,5.8
90,속초,2021-10-01,25.6,5.2
90,속초,2021-10-02,24.6,5.2
90,속초,2021-10-03,27.4,5.7
90,속초,2021-10-04,27,13
90,속초,2021-10-05,21.6,9.3
90,속초,2021-10-06,18.2,9.2
90,속초,2021-10-07,19,8.7
90,속초,2021-10-08,18.6,6.7
90,속초,2021-10-09,20.7,5.9
90,속초,2021-10-10,27.5,11.1
90,속초,2021-10-11,20,7.4
90,속초,2021-10-12,20.9,7.3
90,속초,2021-10-13,22.1,4.3
90,속초,2021-10-14,24.2,5.7
90,속초,2021-10-15,20.4,10.6
90,속초,2021-10-16,18.9,12.3
90,속초,2021-10-17,10.8,6.9
90,속초,2021-10-18,17.4,7.1
90,속초,2021-10-19,15.5,12.2
90,속초,2021-10-20,14,5.7
90,속초,2021-10-21,15.5,5.8
90,속초,2021-10-22,15.2,8.3
90,속초,2021-10-23,18.4,6.6
90,속초,2021-10-24,19,4.3
90,속초,2021-10-25,18.5,3.8
90,속초,2021-10-26,21.1,7.1
90,속초,2021-10-27,19.5,8.6
90,속초,2021-10-28,18.4,6.5
90,속초,2021-10-29,19.5,5.8
90,속초,2021-10-30,19.9,4
90,속초,2021-10-31,20.7,4.8
90,속초,2021-11-01,19,10.1
90,속초,2021-11-02,14.3,7.9
90,속초,2021-11-03,18.2,4.3
90,속초,2021-11-04,19.4,6
90,속초,2021-11-05,19.1,3.7
90,속초,2021-11-06,19,4.4
90,속초,2021-11-07,20.1,10.2
90,속초,2021-11-08,17.5,16.6
90,속초,2021-11-09,8.8,12.7
90,속초,2021-11-10,9,14.5
90,속초,2021-11-11,10.2,16.1
90,속초,2021-11-12,10,11.8
90,속초,2021-11-13,15.7,10.5
90,속초,2021-11-14,17,10.3
90,속초,2021-11-15,15.1,7.5
90,속초,2021-11-16,15.1,6.2
90,속초,2021-11-17,14.6,6.8
90,속초,2021-11-18,17.6,10.2
90,속초,2021-11-19,19.6,9.5
90,속초,2021-11-20,16,11.2
90,속초,2021-11-21,16.5,3.6
90,속초,2021-11-22,14.5,15.9
90,속초,2021-11-23,5,17
90,속초,2021-11-24,9.5,15.4
90,속초,2021-11-25,11.8,13.4
90,속초,2021-11-26,10.3,9.9
90,속초,2021-11-27,9,4.2
90,속초,2021-11-28,15.6,6
90,속초,2021-11-29,14.3,10.3
90,속초,2021-11-30,10.9,14.4
90,속초,2021-12-01,2.4,14.6
90,속초,2021-12-02,7,18.4
90,속초,2021-12-03,7.5,10.2
90,속초,2021-12-04,7.8,11.7
90,속초,2021-12-05,12,4.8
90,속초,2021-12-06,13.5,5.9
90,속초,2021-12-07,10.6,9.8
90,속초,2021-12-08,12.1,4.7
90,속초,2021-12-09,12.6,5.7
90,속초,2021-12-10,13.9,9.9
90,속초,2021-12-11,12.6,6.7
90,속초,2021-12-12,9.5,16.3
90,속초,2021-12-13,5.2,6.4
90,속초,2021-12-14,9.1,13.1
90,속초,2021-12-15,10.8,10.1
90,속초,2021-12-16,12.2,8.2
90,속초,2021-12-17,8,18.1
90,속초,2021-12-18,2.5,11.5
90,속초,2021-12-19,6,13.4
90,속초,2021-12-20,11.5,11.6
90,속초,2021-12-21,13,11.3
90,속초,2021-12-22,6.8,7.8
90,속초,2021-12-23,8.1,6.3
90,속초,2021-12-24,4.9,10.3
90,속초,2021-12-25,-.7,7.2
90,속초,2021-12-26,-6.8,10.8
90,속초,2021-12-27,-1,17.5
90,속초,2021-12-28,5.2,11
90,속초,2021-12-29,6.6,11.4
90,속초,2021-12-30,.6,13.2
90,속초,2021-12-31,-.9,9.1
93,북춘천,2021-01-01,.4,9.6
93,북춘천,2021-01-02,-.8,7
93,북춘천,2021-01-03,-.9,6.5
93,북춘천,2021-01-04,-.7,3.7
93,북춘천,2021-01-05,-1.9,7.2
93,북춘천,2021-01-06,-4,10.1
93,북춘천,2021-01-07,-7.4,13.2
93,북춘천,2021-01-08,-10.9,7.8
93,북춘천,2021-01-09,-7.6,6.9
93,북춘천,2021-01-10,-4.8,3.3
93,북춘천,2021-01-11,-6,2.3
93,북춘천,2021-01-12,-2.9,2.4
93,북춘천,2021-01-13,5.5,4.8
93,북춘천,2021-01-14,5.7,3.4
93,북춘천,2021-01-15,7.3,6.9
93,북춘천,2021-01-16,-.2,8
93,북춘천,2021-01-17,-1.6,9.6
93,북춘천,2021-01-18,-1,13.8
93,북춘천,2021-01-19,-3.2,4.7
93,북춘천,2021-01-20,2.1,2.1
93,북춘천,2021-01-21,3.4,2.2
93,북춘천,2021-01-22,5.1,2.7
93,북춘천,2021-01-23,9.1,8.3
93,북춘천,2021-01-24,11.5,4.4
93,북춘천,2021-01-25,11.5,2.6
93,북춘천,2021-01-26,4.3,4.1
93,북춘천,2021-01-27,7.3,4.7
93,북춘천,2021-01-28,.1,16.8
93,북춘천,2021-01-29,-4.4,10.6
93,북춘천,2021-01-30,.2,2.9
93,북춘천,2021-01-31,5.3,2.7
93,북춘천,2021-02-01,10.6,11.2
93,북춘천,2021-02-02,.4,11.1
93,북춘천,2021-02-03,1.4,9.6
93,북춘천,2021-02-04,-.7,13.4
93,북춘천,2021-02-05,4.3,5.4
93,북춘천,2021-02-06,8.8,7.5
93,북춘천,2021-02-07,10,10.5
93,북춘천,2021-02-08,.7,10.2
93,북춘천,2021-02-09,4.8,7.1
93,북춘천,2021-02-10,7.2,6.8
93,북춘천,2021-02-11,9.2,3.4
93,북춘천,2021-02-12,13.4,2.7
93,북춘천,2021-02-13,14.5,2.2
93,북춘천,2021-02-14,13.3,3.5
93,북춘천,2021-02-15,5.1,13.5
93,북춘천,2021-02-16,-.8,12.5
93,북춘천,2021-02-17,-5.2,12.1
93,북춘천,2021-02-18,-1.3,4.8
93,북춘천,2021-02-19,6.5,8
93,북춘천,2021-02-20,15.5,7.6
93,북춘천,2021-02-21,19.7,8.7
93,북춘천,2021-02-22,15.8,9.8
93,북춘천,2021-02-23,6.5,7.5
93,북춘천,2021-02-24,9.9,3.4
93,북춘천,2021-02-25,6,2.4
93,북춘천,2021-02-26,12.7,10.1
93,북춘천,2021-02-27,13.4,9.7
93,북춘천,2021-02-28,11.2,4.3
93,북춘천,2021-03-01,5.6,10.4
93,북춘천,2021-03-02,4.2,5.7
93,북춘천,2021-03-03,7.2,4
93,북춘천,2021-03-04,10.5,2.5
93,북춘천,2021-03-05,15.1,3.3
93,북춘천,2021-03-06,7.1,10.2
93,북춘천,2021-03-07,11.3,4.3
93,북춘천,2021-03-08,13.8,5.5
93,북춘천,2021-03-09,14.1,4.6
93,북춘천,2021-03-10,16,4.7
93,북춘천,2021-03-11,16.9,3.4
93,북춘천,2021-03-12,12.6,8.8
93,북춘천,2021-03-13,14.7,5.1
93,북춘천,2021-03-14,15.3,6
93,북춘천,2021-03-15,15.2,9.7
93,북춘천,2021-03-16,15.3,8.1
93,북춘천,2021-03-17,18.1,4
93,북춘천,2021-03-18,18.1,6.4
93,북춘천,2021-03-19,19.3,6.1
93,북춘천,2021-03-20,11.1,3.6
93,북춘천,2021-03-21,10.2,12.3
93,북춘천,2021-03-22,12,12.6
93,북춘천,2021-03-23,17.2,14.8
93,북춘천,2021-03-24,16.9,8.5
93,북춘천,2021-03-25,20.6,9.3
93,북춘천,2021-03-26,21.1,4.2
93,북춘천,2021-03-27,15.1,2.3
93,북춘천,2021-03-28,11,7.5
